# CoordinateSystem: PROJCS["CH1903+ / LV95",GEOGCS["CH1903+",DATUM["CH1903+",SPHEROID["Bessel 1841",6377397.155,299.1528128,AUTHORITY["EPSG","7004"]],TOWGS84[674.374,15.056,405.346,0,0,0,0],AUTHORITY["EPSG","6150"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4150"]],PROJECTION["Oblique_Mercator",AUTHORITY["EPSG","9815"]],PARAMETER["latitude_of_center",46.95240555555561],PARAMETER["longitude_of_center",7.439583333333329],PARAMETER["azimuth",90],PARAMETER["recitified_grid_angle",90],PARAMETER["scale_factor",1],PARAMETER["false_easting",2600000],PARAMETER["false_northing",1200000],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","2056"]]
#Label,X/Easting,Y/Northing,Z/Altitude,Yaw,Pitch,Roll,Error_(m),X_error,Y_error,Z_error,Error_(deg),Yaw_error,Pitch_error,Roll_error,X_est,Y_est,Z_est,Yaw_est,Pitch_est,Roll_est
DJI_0214.jpg,2507739.051008,1139136.995064,460.508270,123.583717,-1.465293,-1.615657,0.599675,0.449752,0.391651,-0.062791,0.717907,0.040709,-0.101611,-0.709513,2507739.500748,1139137.386705,460.445479,123.624426,-1.566904,-2.325170
DJI_0215.jpg,2507735.352370,1139137.976069,346.348192,119.900002,0.099998,-0.000000,,,,,,,,,,,,,,
DJI_0216.jpg,2507734.053963,1139140.263558,460.532022,123.623087,-1.079452,-1.196184,0.573593,0.454019,0.347641,-0.044964,0.677415,0.036114,-0.166684,-0.655594,2507734.507970,1139140.611190,460.487058,123.659201,-1.246136,-1.851778
DJI_0217.jpg,2507729.059231,1139143.517039,460.595865,123.722727,-0.926549,-1.083313,0.599755,0.442689,0.403692,-0.027667,0.722496,0.036307,-0.132814,-0.709255,2507729.501908,1139143.920720,460.568198,123.759034,-1.059363,-1.792568
DJI_0218.jpg,2507724.103443,1139146.832606,460.681413,123.825809,-0.880754,-1.077911,0.633986,0.484337,0.408884,-0.012997,0.775244,0.037785,-0.209308,-0.745497,2507724.587768,1139147.241479,460.668416,123.863594,-1.090062,-1.823408
DJI_0219.jpg,2507718.667161,1139150.358928,460.764529,123.905937,-0.681814,-0.902981,0.781043,0.671507,0.398075,0.025331,1.001281,0.046694,-0.468186,-0.883846,2507719.338650,1139150.756993,460.789860,123.952631,-1.150000,-1.786827
DJI_0220.jpg,2507713.953922,1139153.483706,460.815011,123.957159,-0.595541,-0.793466,0.740711,0.583305,0.455726,0.026874,0.925311,0.033958,-0.325771,-0.865402,2507714.537211,1139153.939420,460.841884,123.991117,-0.921312,-1.658868
DJI_0221.jpg,2507708.908245,1139157.103025,460.817310,124.092881,-0.808968,-0.958423,0.725838,0.587466,0.418879,0.079153,0.924461,0.001017,-0.403935,-0.831543,2507709.495695,1139157.521892,460.896463,124.093898,-1.212903,-1.789966
DJI_0222.jpg,2507704.512171,1139160.330149,460.899016,124.165253,-1.011298,-1.170757,0.590275,0.247337,0.529181,0.084950,0.684571,0.009277,0.052781,-0.682470,2507704.759501,1139160.859316,460.983966,124.174530,-0.958517,-1.853227
DJI_0223.jpg,2507699.863826,1139163.760774,461.003039,124.256000,-1.292366,-1.380019,0.732475,-0.274599,0.678695,0.022073,0.896541,-0.027418,0.784890,-0.432415,2507699.589234,1139164.439451,461.025112,124.228582,-0.507476,-1.812434
DJI_0224.jpg,2507694.578952,1139167.624897,461.035577,124.250261,-0.992153,-1.591324,0.312599,-0.283965,0.128478,-0.023984,0.390925,-0.052029,0.335831,0.193218,2507694.294994,1139167.753371,461.011593,124.198232,-0.656322,-1.398106
DJI_0225.jpg,2507689.708233,1139171.006565,461.028486,124.199897,-1.083716,-1.554570,0.225870,-0.138869,-0.176322,-0.025359,0.428020,-0.053916,-0.100045,0.412656,2507689.569368,1139170.830248,461.003127,124.145981,-1.183761,-1.141914
DJI_0226.jpg,2507684.655191,1139174.401953,461.073249,124.176326,-0.936047,-1.447102,0.187979,0.018825,-0.180289,-0.049777,0.413940,0.014797,-0.288348,0.296619,2507684.674016,1139174.221669,461.023472,124.191123,-1.224395,-1.150483
DJI_0227.jpg,2507679.626195,1139177.863725,461.195204,124.154989,-0.827561,-1.460780,0.543983,0.287695,-0.457397,-0.062741,0.922813,0.027247,-0.831713,0.398866,2507679.913883,1139177.406340,461.132463,124.182236,-1.659274,-1.061914
DJI_0228.jpg,2507674.493570,1139181.261097,461.194998,124.183665,-0.624603,-1.280093,0.364352,-0.358837,0.044631,0.044683,0.495578,0.045570,0.363302,0.333965,2507674.134743,1139181.305727,461.239681,124.229235,-0.261301,-0.946128
