Exposure_image,Variety,Lon_exposure,Lat_exposure,Z_exposure,Plot_label,Lon_plot,Lat_plot,Z_plot,Lon_diff,Lat_diff,Z_diff,Planar_dist,Azimuth_drone,Total_dist,Mean_centroid_angle,Planar_diff_from_mean_centroid_angle,Lateral_dist_from_ex_pos,Longitudinal_dist_from_ex_pos,Lateral_angle_from_ex_pos,Longitudinal_angle_from_ex_pos,Azimuth_sun,Elevation_sun,Azimuth_diff,Elevation_diff,AngleSunPlotDrone,Longitudinal_dist_sun_direction,Lateral_dist_sun_direction,Longitudinal_angle_from_sun_direction,Lateral_angle_from_sun_direction,Temp_by_img_plot,Central_Temp,Central_4pixel_temp,TimeStamp,Sensor_x,Sensor_y
DJI_0970.jpg,Variety_45,2507643.187984,1139189.040355,460.1801731862348,Fill_184,2507656.291090021,1139193.5190946362,422.9411412799169,13.103106020949781,4.478739636251703,37.239031906317905,13.847400338171148,71.12918817230404,39.7302906287551,124.71085686603028,53.58166869372624,11.1431,8.2209,16.6588517203073,12.44896302098434,186.5,66.57,115.37081182769596,46.172259299862944,76.36886094612856,-5.9333,12.5119,-9.052850620325021,18.57177515137785,24093.0,22,23050,2021-07-01 13:50:13,85.8,-80.0
DJI_0971.jpg,Variety_1,2507647.817286,1139186.083797,460.20911248342577,102_Experiment121,2507644.4388846974,1139176.4045642102,423.1988037109375,-3.3784013027325273,-9.679232789902017,37.01030877248826,10.251884839551174,199.24082917560355,38.403959407831124,124.71085686603028,285.4700276904267,-9.8805,2.7345,-14.947436434440199,4.22561035939567,186.52,66.57,347.2791708243965,51.08722631942209,51.528561240825304,10.0002,-2.2575,15.120276149589493,-3.49051847452153,21736.0,22,22983,2021-07-01 13:50:15,508.7,-200.0
DJI_0971.jpg,Variety_24,2507647.817286,1139186.083797,460.20911248342577,119_Experiment121,2507643.595649246,1139175.1208175034,423.316748046875,-4.2216367539949715,-10.962979496689513,36.89236443655079,11.747728985957918,201.0607548287511,38.717640553716514,124.71085686603028,283.65010203727917,-11.4159,2.7724,-17.194055189978464,4.297605033558569,186.52,66.57,345.4592451712489,48.906832523460764,49.58133489895494,11.3714,-2.9495,17.13096211255789,-4.571005949136253,21945.0,22,22983,2021-07-01 13:50:15,540.0,-198.8
DJI_0971.jpg,Variety_3,2507647.817286,1139186.083797,460.20911248342577,122_Experiment121,2507641.9590097284,1139172.629110786,423.2652221679688,-5.858276271726936,-13.454686214216053,36.943890315457,14.674739588793198,203.52868811828085,39.75171711560913,124.71085686603028,281.1821687477494,-14.3961,2.8459,-21.289604987073876,4.404968383047537,186.52,66.57,342.9913118817192,44.90618503311521,46.0963204332446,14.0329,-4.2926,20.798959849235754,-6.6276161007982335,21736.0,22,22983,2021-07-01 13:50:15,599.9,-197.2
DJI_0971.jpg,Variety_7,2507647.817286,1139186.083797,460.20911248342577,139_Experiment121,2507641.1517134816,1139171.4724635324,423.17242808824176,-6.665572518482804,-14.61133346776478,37.03668439518401,16.059916646900017,204.52208926059814,40.36876160713681,124.71085686603028,280.18876760543213,-15.8067,2.8409,-23.112060672554176,4.386285487916278,186.52,66.57,341.99791073940185,43.12738989250906,44.60492307333899,15.2737,-4.9633,22.410948584784403,-7.6327540835920376,22049.0,22,22983,2021-07-01 13:50:15,627.9,-197.4
DJI_0971.jpg,Variety_22,2507647.817286,1139186.083797,460.20911248342577,22_Experiment121,2507653.682841213,1139189.8372790331,423.0373198680389,5.865555212832987,3.753482033032924,37.17179261538689,6.96371778054605,57.38403692203915,37.81845490720668,124.71085686603028,67.32681994399113,6.4256,2.6843,9.80735851765517,4.130351035451928,186.52,66.57,129.13596307796087,55.959269235069186,73.48941156845044,-4.3952,5.4014,-6.743354737266244,8.267732311695783,22963.0,22,22983,2021-07-01 13:50:15,182.9,-201.7
DJI_0971.jpg,Variety_11,2507647.817286,1139186.083797,460.20911248342577,39_Experiment121,2507652.054961909,1139187.3121976461,423.0349487304687,4.237675908952951,1.2284006460104138,37.17416375295704,4.412127067122957,73.83439342679912,37.43508135410025,124.71085686603028,50.87646343923116,3.4229,2.784,5.260811855401522,4.28292718837309,186.52,66.57,112.68560657320089,59.80134312287629,69.31995143301782,-1.7016,4.0708,-2.620811950896691,6.249340435253124,22694.0,22,22983,2021-07-01 13:50:15,242.7,-199.5
DJI_0971.jpg,Variety_4,2507647.817286,1139186.083797,460.20911248342577,42_Experiment121,2507651.1609760197,1139186.1608856597,423.1896507626488,3.3436900195665658,0.07708865962922573,37.019461720776974,3.34457853972552,88.67928172080809,37.170240135146614,124.71085686603028,36.03157514522219,1.9674,2.7047,3.0421233994303165,4.178694888046995,186.52,66.57,97.84071827919192,61.40754297863542,67.37162397194804,-0.4563,3.3133,-0.7061890984710061,5.114434909948448,22714.0,22,22983,2021-07-01 13:50:15,271.5,-200.8
DJI_0971.jpg,Variety_9,2507647.817286,1139186.083797,460.20911248342577,59_Experiment121,2507650.3367812824,1139184.9054950392,423.1713392469618,2.5194952823221684,-1.1783019609283656,37.03777323646398,2.781411869675416,115.06426078524686,37.14206373243817,124.71085686603028,9.646596080783425,0.4661,2.7421,0.7209978046540845,4.23418124369224,186.52,66.57,71.45573921475315,62.275341316076116,65.26862017748358,0.8846,2.637,1.3681765449534478,4.072449184376867,21840.0,22,22983,2021-07-01 13:50:15,301.5,-200.0
DJI_0971.jpg,Variety_16,2507647.817286,1139186.083797,460.20911248342577,62_Experiment121,2507648.6040036525,1139182.394934021,423.01609159770766,0.7867176523432136,-3.688862979179248,37.19302088571811,3.7718211441779177,167.9609871202341,37.3837857546441,124.71085686603028,316.74986974579616,-2.5844,2.7473,-3.9748742811853917,4.2245383977371,186.52,66.57,18.559012879765902,60.779313649530664,61.0948855977855,3.5757,1.2005,5.491481978368806,1.8487261697073776,22777.0,22,22983,2021-07-01 13:50:15,362.3,-200.0
